"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Jan-20",30,27,3,18,19,9,8,2020,1
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Jan-20",31,30,1,15,14,15,16,2020,1
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Jan-20",119,106,13,61,66,45,40,2020,1
"Adelaide-Perth","Adelaide","Perth","Jetstar","Jan-20",21,20,1,11,16,9,4,2020,1
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Jan-20",91,87,4,69,69,18,18,2020,1
"Ayers Rock-Sydney","Ayers Rock","Sydney","Jetstar","Jan-20",27,27,0,15,14,12,13,2020,1
"Ballina-Sydney","Ballina","Sydney","Jetstar","Jan-20",108,108,0,70,76,38,32,2020,1
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Jan-20",30,29,1,19,21,10,8,2020,1
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Jan-20",104,104,0,70,84,34,20,2020,1
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Jan-20",25,25,0,23,24,2,1,2020,1
"Brisbane-Hobart","Brisbane","Hobart","Jetstar","Jan-20",43,43,0,39,38,4,5,2020,1
"Brisbane-Mackay","Brisbane","Mackay","Jetstar","Jan-20",31,31,0,24,25,7,6,2020,1
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Jan-20",183,171,12,103,113,68,58,2020,1
"Brisbane-Newcastle","Brisbane","Newcastle","Jetstar","Jan-20",82,80,2,53,53,27,27,2020,1
"Brisbane-Proserpine","Brisbane","Proserpine","Jetstar","Jan-20",43,43,0,32,36,11,7,2020,1
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Jan-20",152,146,6,109,105,37,41,2020,1
"Brisbane-Townsville","Brisbane","Townsville","Jetstar","Jan-20",62,61,1,45,46,16,15,2020,1
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Jan-20",104,104,0,83,80,21,24,2020,1
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","Jan-20",59,59,0,39,40,20,19,2020,1
"Cairns-Sydney","Cairns","Sydney","Jetstar","Jan-20",92,91,1,75,69,16,22,2020,1
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Jan-20",25,25,0,24,24,1,1,2020,1
"Darwin-Melbourne","Darwin","Melbourne","Jetstar","Jan-20",26,26,0,19,17,7,9,2020,1
"Darwin-Sydney","Darwin","Sydney","Jetstar","Jan-20",27,25,2,21,15,4,10,2020,1
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Jan-20",31,30,1,17,21,13,9,2020,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","Jan-20",182,176,6,83,105,93,71,2020,1
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","Jan-20",289,278,11,166,190,112,88,2020,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","Jetstar","Jan-20",30,30,0,19,23,11,7,2020,1
"Hobart-Brisbane","Hobart","Brisbane","Jetstar","Jan-20",43,43,0,35,35,8,8,2020,1
"Hobart-Melbourne","Hobart","Melbourne","Jetstar","Jan-20",214,211,3,131,122,80,89,2020,1
"Hobart-Sydney","Hobart","Sydney","Jetstar","Jan-20",108,107,1,65,57,42,50,2020,1
"Launceston-Melbourne","Launceston","Melbourne","Jetstar","Jan-20",179,178,1,105,101,73,77,2020,1
"Launceston-Sydney","Launceston","Sydney","Jetstar","Jan-20",62,61,1,37,35,24,26,2020,1
"Mackay-Brisbane","Mackay","Brisbane","Jetstar","Jan-20",31,31,0,17,19,14,12,2020,1
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Jan-20",119,109,10,61,61,48,48,2020,1
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Jan-20",180,171,9,103,108,68,63,2020,1
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","Jan-20",60,60,0,34,35,26,25,2020,1
"Melbourne-Darwin","Melbourne","Darwin","Jetstar","Jan-20",26,26,0,17,20,9,6,2020,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","Jan-20",180,176,4,103,95,73,81,2020,1
"Melbourne-Hobart","Melbourne","Hobart","Jetstar","Jan-20",211,211,0,156,146,55,65,2020,1
"Melbourne-Launceston","Melbourne","Launceston","Jetstar","Jan-20",179,176,3,127,122,49,54,2020,1
"Melbourne-Newcastle","Melbourne","Newcastle","Jetstar","Jan-20",99,97,2,51,50,46,47,2020,1
"Melbourne-Perth","Melbourne","Perth","Jetstar","Jan-20",56,53,3,36,43,17,10,2020,1
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Jetstar","Jan-20",55,55,0,47,44,8,11,2020,1
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Jan-20",460,437,23,278,252,159,185,2020,1
"Newcastle-Brisbane","Newcastle","Brisbane","Jetstar","Jan-20",82,78,4,58,53,20,25,2020,1
"Newcastle-Melbourne","Newcastle","Melbourne","Jetstar","Jan-20",98,96,2,60,62,36,34,2020,1
"Perth-Adelaide","Perth","Adelaide","Jetstar","Jan-20",21,20,1,12,15,8,5,2020,1
"Perth-Melbourne","Perth","Melbourne","Jetstar","Jan-20",57,53,4,38,44,15,9,2020,1
"Perth-Sydney","Perth","Sydney","Jetstar","Jan-20",31,30,1,26,23,4,7,2020,1
"Proserpine-Brisbane","Proserpine","Brisbane","Jetstar","Jan-20",43,43,0,35,34,8,9,2020,1
"Proserpine-Sydney","Proserpine","Sydney","Jetstar","Jan-20",13,13,0,7,7,6,6,2020,1
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Jetstar","Jan-20",56,56,0,33,37,23,19,2020,1
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Jetstar","Jan-20",62,61,1,27,27,34,34,2020,1
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Jan-20",91,87,4,58,61,29,26,2020,1
"Sydney-Ayers Rock","Sydney","Ayers Rock","Jetstar","Jan-20",26,26,0,19,21,7,5,2020,1
"Sydney-Ballina","Sydney","Ballina","Jetstar","Jan-20",107,107,0,80,81,27,26,2020,1
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Jan-20",152,148,4,86,98,62,50,2020,1
"Sydney-Cairns","Sydney","Cairns","Jetstar","Jan-20",92,91,1,68,75,23,16,2020,1
"Sydney-Darwin","Sydney","Darwin","Jetstar","Jan-20",27,25,2,18,22,7,3,2020,1
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Jan-20",288,282,6,187,190,95,92,2020,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Jetstar","Jan-20",30,30,0,27,27,3,3,2020,1
"Sydney-Hobart","Sydney","Hobart","Jetstar","Jan-20",108,106,2,63,77,43,29,2020,1
"Sydney-Launceston","Sydney","Launceston","Jetstar","Jan-20",62,62,0,45,53,17,9,2020,1
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Jan-20",462,440,22,266,280,174,160,2020,1
"Sydney-Perth","Sydney","Perth","Jetstar","Jan-20",31,31,0,24,27,7,4,2020,1
"Sydney-Proserpine","Sydney","Proserpine","Jetstar","Jan-20",13,13,0,6,9,7,4,2020,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Jetstar","Jan-20",62,62,0,40,45,22,17,2020,1
"Sydney-Townsville","Sydney","Townsville","Jetstar","Jan-20",30,30,0,23,24,7,6,2020,1
"Townsville-Brisbane","Townsville","Brisbane","Jetstar","Jan-20",62,61,1,45,45,16,16,2020,1
"Townsville-Sydney","Townsville","Sydney","Jetstar","Jan-20",30,30,0,20,20,10,10,2020,1
"Adelaide-Alice Springs","Adelaide","Alice Springs","Qantas","Jan-20",31,31,0,27,28,4,3,2020,1
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Jan-20",108,107,1,98,97,9,10,2020,1
"Adelaide-Canberra","Adelaide","Canberra","Qantas","Jan-20",31,30,1,28,29,2,1,2020,1
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas","Jan-20",256,246,10,184,182,62,64,2020,1
"Adelaide-Perth","Adelaide","Perth","Qantas","Jan-20",107,107,0,89,91,18,16,2020,1
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Jan-20",257,252,5,206,205,46,47,2020,1
"Alice Springs-Adelaide","Alice Springs","Adelaide","Qantas","Jan-20",32,32,0,25,27,7,5,2020,1
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Jan-20",108,106,2,87,94,19,12,2020,1
