"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Jan-20",30,27,3,18,19,9,8,2020,1,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Jan-20",31,30,1,15,14,15,16,2020,1,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Jan-20",119,106,13,61,66,45,40,2020,1,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Jetstar","Jan-20",21,20,1,11,16,9,4,2020,1,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Jan-20",91,87,4,69,69,18,18,2020,1,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Jan-20",30,29,1,19,21,10,8,2020,1,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Jan-20",104,104,0,70,84,34,20,2020,1,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Jan-20",25,25,0,23,24,2,1,2020,1,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Jan-20",183,171,12,103,113,68,58,2020,1,-27.3842,153.1175,-37.669,144.841
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Jan-20",152,146,6,109,105,37,41,2020,1,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Jan-20",104,104,0,83,80,21,24,2020,1,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","Jan-20",59,59,0,39,40,20,19,2020,1,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Jetstar","Jan-20",92,91,1,75,69,16,22,2020,1,-16.8858,145.7553,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Jan-20",25,25,0,24,24,1,1,2020,1,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Jetstar","Jan-20",26,26,0,19,17,7,9,2020,1,-12.4147,130.8767,-37.669,144.841
"Darwin-Sydney","Darwin","Sydney","Jetstar","Jan-20",27,25,2,21,15,4,10,2020,1,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Jan-20",31,30,1,17,21,13,9,2020,1,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","Jan-20",182,176,6,83,105,93,71,2020,1,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","Jan-20",289,278,11,166,190,112,88,2020,1,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Jan-20",119,109,10,61,61,48,48,2020,1,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Jan-20",180,171,9,103,108,68,63,2020,1,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","Jan-20",60,60,0,34,35,26,25,2020,1,-37.669,144.841,-16.8858,145.7553
"Melbourne-Darwin","Melbourne","Darwin","Jetstar","Jan-20",26,26,0,17,20,9,6,2020,1,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","Jan-20",180,176,4,103,95,73,81,2020,1,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Jetstar","Jan-20",56,53,3,36,43,17,10,2020,1,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Jan-20",460,437,23,278,252,159,185,2020,1,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Jetstar","Jan-20",21,20,1,12,15,8,5,2020,1,-31.9403,115.9676,-34.945,138.5306
"Perth-Melbourne","Perth","Melbourne","Jetstar","Jan-20",57,53,4,38,44,15,9,2020,1,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Jetstar","Jan-20",31,30,1,26,23,4,7,2020,1,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Jan-20",91,87,4,58,61,29,26,2020,1,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Jan-20",152,148,4,86,98,62,50,2020,1,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Jetstar","Jan-20",92,91,1,68,75,23,16,2020,1,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Darwin","Sydney","Darwin","Jetstar","Jan-20",27,25,2,18,22,7,3,2020,1,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Jan-20",288,282,6,187,190,95,92,2020,1,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Jan-20",462,440,22,266,280,174,160,2020,1,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Jetstar","Jan-20",31,31,0,24,27,7,4,2020,1,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Jan-20",108,107,1,98,97,9,10,2020,1,-34.945,138.5306,-27.3842,153.1175
