,Departing_Port,Arriving_Port,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Sectors_Flown_Reverse,Total_Flights
0,Adelaide,Brisbane,12934,-34.945,138.5306,-27.3842,153.1175,12933,25867
1,Adelaide,Cairns,145,-34.945,138.5306,-16.8858,145.7553,145,290
2,Adelaide,Canberra,4039,-34.945,138.5306,-35.3069,149.195,4032,8071
3,Adelaide,Darwin,587,-34.945,138.5306,-12.4147,130.8767,590,1177
4,Adelaide,Gold Coast,2924,-34.945,138.5306,-28.1644,153.5051,2920,5844
5,Adelaide,Melbourne,25847,-34.945,138.5306,-37.669,144.841,25914,51761
6,Adelaide,Perth,7630,-34.945,138.5306,-31.9403,115.9676,7641,15271
7,Adelaide,Sydney,19804,-34.945,138.5306,-33.9399,151.1753,19878,39682
8,Brisbane,Adelaide,12933,-27.3842,153.1175,-34.945,138.5306,12934,25867
9,Brisbane,Cairns,18704,-27.3842,153.1175,-16.8858,145.7553,18675,37379
10,Brisbane,Canberra,11871,-27.3842,153.1175,-35.3069,149.195,11848,23719
11,Brisbane,Darwin,4860,-27.3842,153.1175,-12.4147,130.8767,4833,9693
12,Brisbane,Melbourne,35766,-27.3842,153.1175,-37.669,144.841,35860,71626
13,Brisbane,Perth,10740,-27.3842,153.1175,-31.9403,115.9676,10732,21472
14,Brisbane,Sydney,47513,-27.3842,153.1175,-33.9399,151.1753,47538,95051
15,Cairns,Adelaide,145,-16.8858,145.7553,-34.945,138.5306,145,290
16,Cairns,Brisbane,18675,-16.8858,145.7553,-27.3842,153.1175,18704,37379
17,Cairns,Gold Coast,133,-16.8858,145.7553,-28.1644,153.5051,131,264
18,Cairns,Melbourne,8043,-16.8858,145.7553,-37.669,144.841,8072,16115
19,Cairns,Sydney,8989,-16.8858,145.7553,-33.9399,151.1753,8999,17988
20,Canberra,Adelaide,4032,-35.3069,149.195,-34.945,138.5306,4039,8071
21,Canberra,Brisbane,11848,-35.3069,149.195,-27.3842,153.1175,11871,23719
22,Canberra,Gold Coast,1237,-35.3069,149.195,-28.1644,153.5051,1237,2474
23,Canberra,Melbourne,15919,-35.3069,149.195,-37.669,144.841,15976,31895
24,Canberra,Sydney,22654,-35.3069,149.195,-33.9399,151.1753,22766,45420
25,Darwin,Adelaide,590,-12.4147,130.8767,-34.945,138.5306,587,1177
26,Darwin,Brisbane,4833,-12.4147,130.8767,-27.3842,153.1175,4860,9693
27,Darwin,Melbourne,2997,-12.4147,130.8767,-37.669,144.841,3004,6001
28,Darwin,Perth,2588,-12.4147,130.8767,-31.9403,115.9676,2600,5188
29,Darwin,Sydney,1038,-12.4147,130.8767,-33.9399,151.1753,1038,2076
30,Gold Coast,Adelaide,2920,-28.1644,153.5051,-34.945,138.5306,2924,5844
31,Gold Coast,Cairns,131,-28.1644,153.5051,-16.8858,145.7553,133,264
32,Gold Coast,Canberra,1237,-28.1644,153.5051,-35.3069,149.195,1237,2474
33,Gold Coast,Melbourne,21871,-28.1644,153.5051,-37.669,144.841,21890,43761
34,Gold Coast,Sydney,26718,-28.1644,153.5051,-33.9399,151.1753,26752,53470
35,Melbourne,Adelaide,25914,-37.669,144.841,-34.945,138.5306,25847,51761
36,Melbourne,Brisbane,35860,-37.669,144.841,-27.3842,153.1175,35766,71626
37,Melbourne,Cairns,8072,-37.669,144.841,-16.8858,145.7553,8043,16115
38,Melbourne,Canberra,15976,-37.669,144.841,-35.3069,149.195,15919,31895
39,Melbourne,Darwin,3004,-37.669,144.841,-12.4147,130.8767,2997,6001
40,Melbourne,Gold Coast,21890,-37.669,144.841,-28.1644,153.5051,21871,43761
41,Melbourne,Perth,15812,-37.669,144.841,-31.9403,115.9676,16009,31821
42,Melbourne,Sydney,78651,-37.669,144.841,-33.9399,151.1753,78347,156998
43,Perth,Adelaide,7641,-31.9403,115.9676,-34.945,138.5306,7630,15271
44,Perth,Brisbane,10732,-31.9403,115.9676,-27.3842,153.1175,10740,21472
45,Perth,Darwin,2600,-31.9403,115.9676,-12.4147,130.8767,2588,5188
46,Perth,Melbourne,16009,-31.9403,115.9676,-37.669,144.841,15812,31821
47,Perth,Sydney,13804,-31.9403,115.9676,-33.9399,151.1753,14070,27874
48,Sydney,Adelaide,19878,-33.9399,151.1753,-34.945,138.5306,19804,39682
49,Sydney,Brisbane,47538,-33.9399,151.1753,-27.3842,153.1175,47513,95051
50,Sydney,Cairns,8999,-33.9399,151.1753,-16.8858,145.7553,8989,17988
51,Sydney,Canberra,22766,-33.9399,151.1753,-35.3069,149.195,22654,45420
52,Sydney,Darwin,1038,-33.9399,151.1753,-12.4147,130.8767,1038,2076
53,Sydney,Gold Coast,26752,-33.9399,151.1753,-28.1644,153.5051,26718,53470
54,Sydney,Melbourne,78347,-33.9399,151.1753,-37.669,144.841,78651,156998
55,Sydney,Perth,14070,-33.9399,151.1753,-31.9403,115.9676,13804,27874
