Departing_Port,Arriving_Port,Airline,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude
Adelaide,Brisbane,Jetstar,1485,-34.945,138.5306,-27.3842,153.1175
Adelaide,Brisbane,Qantas,2416,-34.945,138.5306,-27.3842,153.1175
Adelaide,Brisbane,QantasLink,3595,-34.945,138.5306,-27.3842,153.1175
Adelaide,Brisbane,Rex Airlines,119,-34.945,138.5306,-27.3842,153.1175
Adelaide,Brisbane,Tigerair Australia,46,-34.945,138.5306,-27.3842,153.1175
Adelaide,Brisbane,Virgin Australia,5273,-34.945,138.5306,-27.3842,153.1175
Adelaide,Cairns,Jetstar,99,-34.945,138.5306,-16.8858,145.7553
Adelaide,Cairns,QantasLink,9,-34.945,138.5306,-16.8858,145.7553
Adelaide,Cairns,Virgin Australia,37,-34.945,138.5306,-16.8858,145.7553
Adelaide,Canberra,Qantas,510,-34.945,138.5306,-35.3069,149.195
Adelaide,Canberra,QantasLink,2638,-34.945,138.5306,-35.3069,149.195
Adelaide,Canberra,Virgin Australia,891,-34.945,138.5306,-35.3069,149.195
Adelaide,Darwin,Jetstar,159,-34.945,138.5306,-12.4147,130.8767
Adelaide,Darwin,QantasLink,356,-34.945,138.5306,-12.4147,130.8767
Adelaide,Darwin,Virgin Australia,72,-34.945,138.5306,-12.4147,130.8767
Adelaide,Gold Coast,Jetstar,1323,-34.945,138.5306,-28.1644,153.5051
Adelaide,Gold Coast,QantasLink,115,-34.945,138.5306,-28.1644,153.5051
Adelaide,Gold Coast,Virgin Australia,1486,-34.945,138.5306,-28.1644,153.5051
Adelaide,Melbourne,Jetstar,4306,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Qantas,9408,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,QantasLink,324,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Regional Express,143,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Rex Airlines,1754,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Tigerair Australia,126,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Virgin Australia,9770,-34.945,138.5306,-37.669,144.841
Adelaide,Melbourne,Virgin Australia Regional Airlines,16,-34.945,138.5306,-37.669,144.841
Adelaide,Perth,Jetstar,1104,-34.945,138.5306,-31.9403,115.9676
Adelaide,Perth,Qantas,3956,-34.945,138.5306,-31.9403,115.9676
Adelaide,Perth,QantasLink,32,-34.945,138.5306,-31.9403,115.9676
Adelaide,Perth,Rex Airlines,14,-34.945,138.5306,-31.9403,115.9676
Adelaide,Perth,Virgin Australia,1346,-34.945,138.5306,-31.9403,115.9676
Adelaide,Perth,Virgin Australia Regional Airlines,1178,-34.945,138.5306,-31.9403,115.9676
Adelaide,Sydney,Jetstar,4453,-34.945,138.5306,-33.9399,151.1753
Adelaide,Sydney,Qantas,8951,-34.945,138.5306,-33.9399,151.1753
Adelaide,Sydney,Rex Airlines,334,-34.945,138.5306,-33.9399,151.1753
Adelaide,Sydney,Tigerair Australia,46,-34.945,138.5306,-33.9399,151.1753
Adelaide,Sydney,Virgin Australia,6020,-34.945,138.5306,-33.9399,151.1753
Brisbane,Adelaide,Jetstar,1487,-27.3842,153.1175,-34.945,138.5306
Brisbane,Adelaide,Qantas,2413,-27.3842,153.1175,-34.945,138.5306
Brisbane,Adelaide,QantasLink,3589,-27.3842,153.1175,-34.945,138.5306
Brisbane,Adelaide,Rex Airlines,119,-27.3842,153.1175,-34.945,138.5306
Brisbane,Adelaide,Tigerair Australia,46,-27.3842,153.1175,-34.945,138.5306
Brisbane,Adelaide,Virgin Australia,5279,-27.3842,153.1175,-34.945,138.5306
Brisbane,Cairns,Jetstar,4516,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Cairns,Qantas,4735,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Cairns,QantasLink,2687,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Cairns,Rex Airlines,50,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Cairns,Tigerair Australia,57,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Cairns,Virgin Australia,6659,-27.3842,153.1175,-16.8858,145.7553
Brisbane,Canberra,Jetstar,880,-27.3842,153.1175,-35.3069,149.195
Brisbane,Canberra,Qantas,651,-27.3842,153.1175,-35.3069,149.195
Brisbane,Canberra,QantasLink,6228,-27.3842,153.1175,-35.3069,149.195
Brisbane,Canberra,Tigerair Australia,50,-27.3842,153.1175,-35.3069,149.195
Brisbane,Canberra,Virgin Australia,4062,-27.3842,153.1175,-35.3069,149.195
Brisbane,Darwin,Jetstar,1086,-27.3842,153.1175,-12.4147,130.8767
Brisbane,Darwin,Qantas,1518,-27.3842,153.1175,-12.4147,130.8767
Brisbane,Darwin,QantasLink,535,-27.3842,153.1175,-12.4147,130.8767
Brisbane,Darwin,Tigerair Australia,19,-27.3842,153.1175,-12.4147,130.8767
Brisbane,Darwin,Virgin Australia,1702,-27.3842,153.1175,-12.4147,130.8767
Brisbane,Melbourne,Jetstar,5885,-27.3842,153.1175,-37.669,144.841
Brisbane,Melbourne,Qantas,14085,-27.3842,153.1175,-37.669,144.841
Brisbane,Melbourne,QantasLink,155,-27.3842,153.1175,-37.669,144.841
Brisbane,Melbourne,Rex Airlines,1648,-27.3842,153.1175,-37.669,144.841
Brisbane,Melbourne,Tigerair Australia,219,-27.3842,153.1175,-37.669,144.841
Brisbane,Melbourne,Virgin Australia,13774,-27.3842,153.1175,-37.669,144.841
Brisbane,Perth,Jetstar,711,-27.3842,153.1175,-31.9403,115.9676
Brisbane,Perth,Qantas,5823,-27.3842,153.1175,-31.9403,115.9676
Brisbane,Perth,Virgin Australia,4206,-27.3842,153.1175,-31.9403,115.9676
Brisbane,Sydney,Jetstar,6310,-27.3842,153.1175,-33.9399,151.1753
Brisbane,Sydney,Qantas,20470,-27.3842,153.1175,-33.9399,151.1753
Brisbane,Sydney,QantasLink,15,-27.3842,153.1175,-33.9399,151.1753
Brisbane,Sydney,Rex Airlines,3666,-27.3842,153.1175,-33.9399,151.1753
Brisbane,Sydney,Tigerair Australia,239,-27.3842,153.1175,-33.9399,151.1753
Brisbane,Sydney,Virgin Australia,16813,-27.3842,153.1175,-33.9399,151.1753
Cairns,Adelaide,Jetstar,99,-16.8858,145.7553,-34.945,138.5306
Cairns,Adelaide,QantasLink,9,-16.8858,145.7553,-34.945,138.5306
Cairns,Adelaide,Virgin Australia,37,-16.8858,145.7553,-34.945,138.5306
Cairns,Brisbane,Jetstar,4521,-16.8858,145.7553,-27.3842,153.1175
Cairns,Brisbane,Qantas,4718,-16.8858,145.7553,-27.3842,153.1175
Cairns,Brisbane,QantasLink,2673,-16.8858,145.7553,-27.3842,153.1175
Cairns,Brisbane,Rex Airlines,50,-16.8858,145.7553,-27.3842,153.1175
Cairns,Brisbane,Tigerair Australia,57,-16.8858,145.7553,-27.3842,153.1175
Cairns,Brisbane,Virgin Australia,6656,-16.8858,145.7553,-27.3842,153.1175
Cairns,Gold Coast,Jetstar,103,-16.8858,145.7553,-28.1644,153.5051
Cairns,Gold Coast,Virgin Australia,30,-16.8858,145.7553,-28.1644,153.5051
Cairns,Melbourne,Jetstar,3830,-16.8858,145.7553,-37.669,144.841
Cairns,Melbourne,Qantas,1570,-16.8858,145.7553,-37.669,144.841
Cairns,Melbourne,Tigerair Australia,73,-16.8858,145.7553,-37.669,144.841
Cairns,Melbourne,Virgin Australia,2570,-16.8858,145.7553,-37.669,144.841
Cairns,Sydney,Jetstar,3659,-16.8858,145.7553,-33.9399,151.1753
Cairns,Sydney,Qantas,2213,-16.8858,145.7553,-33.9399,151.1753
Cairns,Sydney,QantasLink,36,-16.8858,145.7553,-33.9399,151.1753
Cairns,Sydney,Tigerair Australia,59,-16.8858,145.7553,-33.9399,151.1753
Cairns,Sydney,Virgin Australia,3022,-16.8858,145.7553,-33.9399,151.1753
Canberra,Adelaide,Qantas,511,-35.3069,149.195,-34.945,138.5306
Canberra,Adelaide,QantasLink,2630,-35.3069,149.195,-34.945,138.5306
Canberra,Adelaide,Virgin Australia,891,-35.3069,149.195,-34.945,138.5306
Canberra,Brisbane,Jetstar,881,-35.3069,149.195,-27.3842,153.1175
Canberra,Brisbane,Qantas,647,-35.3069,149.195,-27.3842,153.1175
Canberra,Brisbane,QantasLink,6203,-35.3069,149.195,-27.3842,153.1175
Canberra,Brisbane,Tigerair Australia,50,-35.3069,149.195,-27.3842,153.1175
Canberra,Brisbane,Virgin Australia,4067,-35.3069,149.195,-27.3842,153.1175
Canberra,Gold Coast,Jetstar,440,-35.3069,149.195,-28.1644,153.5051
Canberra,Gold Coast,QantasLink,22,-35.3069,149.195,-28.1644,153.5051
Canberra,Gold Coast,Virgin Australia,775,-35.3069,149.195,-28.1644,153.5051
Canberra,Melbourne,Jetstar,742,-35.3069,149.195,-37.669,144.841
Canberra,Melbourne,Qantas,812,-35.3069,149.195,-37.669,144.841
Canberra,Melbourne,QantasLink,8593,-35.3069,149.195,-37.669,144.841
